날짜,발전량(kW),용량합계(kW)
2024-11-20 00:15:00,0.0,446.88
2024-11-20 00:30:00,0.0,446.88
2024-11-20 00:45:00,0.0,446.88
2024-11-20 01:00:00,0.0,446.88
2024-11-20 01:15:00,0.0,446.88
2024-11-20 01:30:00,0.0,446.88
2024-11-20 01:45:00,0.0,446.88
2024-11-20 02:00:00,0.0,446.88
2024-11-20 02:15:00,0.0,446.88
2024-11-20 02:30:00,0.0,446.88
2024-11-20 02:45:00,0.0,446.88
2024-11-20 03:00:00,0.0,446.88
2024-11-20 03:15:00,0.0,446.88
2024-11-20 03:30:00,0.0,446.88
2024-11-20 03:45:00,0.0,446.88
2024-11-20 04:00:00,0.0,446.88
2024-11-20 04:15:00,0.0,446.88
2024-11-20 04:30:00,0.0,446.88
2024-11-20 04:45:00,0.0,446.88
2024-11-20 05:00:00,0.0,446.88
2024-11-20 05:15:00,0.0,446.88
2024-11-20 05:30:00,0.0,446.88
2024-11-20 05:45:00,0.0,446.88
2024-11-20 06:00:00,0.0,446.88
2024-11-20 06:15:00,0.0,446.88
2024-11-20 06:30:00,0.0,446.88
2024-11-20 06:45:00,0.0,446.88
2024-11-20 07:00:00,0.0,446.88
2024-11-20 07:15:00,0.743,446.88
2024-11-20 07:30:00,0.0,446.88
2024-11-20 07:45:00,1.1,446.88
2024-11-20 08:00:00,2.0,446.88
2024-11-20 08:15:00,1.8,446.88
2024-11-20 08:30:00,1.8,446.88
2024-11-20 08:45:00,3.3,446.88
2024-11-20 09:00:00,4.6,446.88
2024-11-20 09:15:00,5.7,446.88
2024-11-20 09:30:00,3.9,446.88
2024-11-20 09:45:00,4.4,446.88
2024-11-20 10:00:00,7.0,446.88
2024-11-20 10:15:00,10.4,446.88
2024-11-20 10:30:00,12.8,446.88
2024-11-20 10:45:00,12.5,446.88
2024-11-20 11:00:00,11.4,446.88
2024-11-20 11:15:00,8.4,446.88
2024-11-20 11:30:00,7.8,446.88
2024-11-20 11:45:00,14.1,446.88
2024-11-20 12:00:00,16.2,446.88
2024-11-20 12:15:00,20.6,446.88
2024-11-20 12:30:00,13.7,446.88
2024-11-20 12:45:00,15.0,446.88
2024-11-20 13:00:00,12.4,446.88
2024-11-20 13:15:00,10.5,446.88
2024-11-20 13:30:00,7.2,446.88
2024-11-20 13:45:00,9.2,446.88
2024-11-20 14:00:00,6.8,446.88
2024-11-20 14:15:00,6.6,446.88
2024-11-20 14:30:00,5.9,446.88
2024-11-20 14:45:00,8.3,446.88
2024-11-20 15:00:00,6.6,446.88
2024-11-20 15:15:00,7.0,446.88
2024-11-20 15:30:00,5.2,446.88
2024-11-20 15:45:00,4.6,446.88
2024-11-20 16:00:00,4.2,446.88
2024-11-20 16:15:00,5.1,446.88
2024-11-20 16:30:00,3.1,446.88
2024-11-20 16:45:00,2.1,446.88
2024-11-20 17:00:00,2.0,446.88
2024-11-20 17:15:00,1.8,446.88
2024-11-20 17:30:00,1.5,446.88
2024-11-20 17:45:00,1.3,446.88
2024-11-20 18:00:00,0.0,446.88
2024-11-20 18:15:00,0.0,446.88
2024-11-20 18:30:00,0.0,446.88
2024-11-20 18:45:00,0.0,446.88
2024-11-20 19:00:00,0.0,446.88
2024-11-20 19:15:00,0.0,446.88
2024-11-20 19:30:00,0.0,446.88
2024-11-20 19:45:00,0.0,446.88
2024-11-20 20:00:00,0.0,446.88
2024-11-20 20:15:00,0.0,446.88
2024-11-20 20:30:00,0.0,446.88
2024-11-20 20:45:00,0.0,446.88
2024-11-20 21:00:00,0.0,446.88
2024-11-20 21:15:00,0.0,446.88
2024-11-20 21:30:00,0.0,446.88
2024-11-20 21:45:00,0.0,446.88
2024-11-20 22:00:00,0.0,446.88
2024-11-20 22:15:00,0.0,446.88
2024-11-20 22:30:00,0.0,446.88
2024-11-20 22:45:00,0.0,446.88
2024-11-20 23:00:00,0.0,446.88
2024-11-20 23:15:00,0.0,446.88
2024-11-20 23:30:00,0.0,446.88
2024-11-20 23:45:00,0.0,446.88
2024-11-21 00:00:00,0.0,446.88
