날짜,발전량(kW),용량합계(kW)
2024-07-07 00:15:00,0.0,446.88
2024-07-07 00:30:00,0.0,446.88
2024-07-07 00:45:00,0.0,446.88
2024-07-07 01:00:00,0.0,446.88
2024-07-07 01:15:00,0.0,446.88
2024-07-07 01:30:00,0.0,446.88
2024-07-07 01:45:00,0.0,446.88
2024-07-07 02:00:00,0.0,446.88
2024-07-07 02:15:00,0.0,446.88
2024-07-07 02:30:00,0.0,446.88
2024-07-07 02:45:00,0.0,446.88
2024-07-07 03:00:00,0.0,446.88
2024-07-07 03:15:00,0.0,446.88
2024-07-07 03:30:00,0.0,446.88
2024-07-07 03:45:00,0.0,446.88
2024-07-07 04:00:00,0.0,446.88
2024-07-07 04:15:00,0.0,446.88
2024-07-07 04:30:00,0.0,446.88
2024-07-07 04:45:00,0.0,446.88
2024-07-07 05:00:00,0.0,446.88
2024-07-07 05:15:00,0.0,446.88
2024-07-07 05:30:00,0.0,446.88
2024-07-07 05:45:00,0.1,446.88
2024-07-07 06:00:00,0.0,446.88
2024-07-07 06:15:00,0.0,446.88
2024-07-07 06:30:00,1.2,446.88
2024-07-07 06:45:00,1.2,446.88
2024-07-07 07:00:00,1.8,446.88
2024-07-07 07:15:00,1.3,446.88
2024-07-07 07:30:00,1.7,446.88
2024-07-07 07:45:00,1.9,446.88
2024-07-07 08:00:00,2.2,446.88
2024-07-07 08:15:00,2.6,446.88
2024-07-07 08:30:00,3.7,446.88
2024-07-07 08:45:00,3.5,446.88
2024-07-07 09:00:00,3.5,446.88
2024-07-07 09:15:00,3.7,446.88
2024-07-07 09:30:00,4.1,446.88
2024-07-07 09:45:00,4.1,446.88
2024-07-07 10:00:00,5.3,446.88
2024-07-07 10:15:00,6.8,446.88
2024-07-07 10:30:00,9.9,446.88
2024-07-07 10:45:00,6.7,446.88
2024-07-07 11:00:00,5.4,446.88
2024-07-07 11:15:00,5.8,446.88
2024-07-07 11:30:00,5.9,446.88
2024-07-07 11:45:00,6.2,446.88
2024-07-07 12:00:00,7.5,446.88
2024-07-07 12:15:00,9.4,446.88
2024-07-07 12:30:00,7.3,446.88
2024-07-07 12:45:00,8.3,446.88
2024-07-07 13:00:00,6.5,446.88
2024-07-07 13:15:00,7.6,446.88
2024-07-07 13:30:00,6.4,446.88
2024-07-07 13:45:00,5.8,446.88
2024-07-07 14:00:00,5.2,446.88
2024-07-07 14:15:00,5.0,446.88
2024-07-07 14:30:00,4.7,446.88
2024-07-07 14:45:00,5.9,446.88
2024-07-07 15:00:00,6.9,446.88
2024-07-07 15:15:00,4.2,446.88
2024-07-07 15:30:00,3.7,446.88
2024-07-07 15:45:00,3.1,446.88
2024-07-07 16:00:00,3.3,446.88
2024-07-07 16:15:00,3.5,446.88
2024-07-07 16:30:00,3.4,446.88
2024-07-07 16:45:00,3.0,446.88
2024-07-07 17:00:00,2.9,446.88
2024-07-07 17:15:00,2.5,446.88
2024-07-07 17:30:00,2.2,446.88
2024-07-07 17:45:00,2.1,446.88
2024-07-07 18:00:00,1.7,446.88
2024-07-07 18:15:00,2.0,446.88
2024-07-07 18:30:00,2.3,446.88
2024-07-07 18:45:00,2.0,446.88
2024-07-07 19:00:00,1.6,446.88
2024-07-07 19:15:00,1.4,446.88
2024-07-07 19:30:00,1.3,446.88
2024-07-07 19:45:00,1.3,446.88
2024-07-07 20:00:00,0.9,446.88
2024-07-07 20:15:00,0.0,446.88
2024-07-07 20:30:00,0.0,446.88
2024-07-07 20:45:00,0.0,446.88
2024-07-07 21:00:00,0.0,446.88
2024-07-07 21:15:00,0.0,446.88
2024-07-07 21:30:00,0.0,446.88
2024-07-07 21:45:00,0.0,446.88
2024-07-07 22:00:00,0.0,446.88
2024-07-07 22:15:00,0.0,446.88
2024-07-07 22:30:00,0.0,446.88
2024-07-07 22:45:00,0.0,446.88
2024-07-07 23:00:00,0.0,446.88
2024-07-07 23:15:00,0.0,446.88
2024-07-07 23:30:00,0.0,446.88
2024-07-07 23:45:00,0.0,446.88
2024-07-08 00:00:00,0.0,446.88
