날짜,발전량(kW),용량합계(kW)
2024-10-30 00:15:00,0.0,446.88
2024-10-30 00:30:00,0.0,446.88
2024-10-30 00:45:00,0.0,446.88
2024-10-30 01:00:00,0.0,446.88
2024-10-30 01:15:00,0.0,446.88
2024-10-30 01:30:00,0.0,446.88
2024-10-30 01:45:00,0.0,446.88
2024-10-30 02:00:00,0.0,446.88
2024-10-30 02:15:00,0.0,446.88
2024-10-30 02:30:00,0.0,446.88
2024-10-30 02:45:00,0.0,446.88
2024-10-30 03:00:00,0.0,446.88
2024-10-30 03:15:00,0.0,446.88
2024-10-30 03:30:00,0.0,446.88
2024-10-30 03:45:00,0.0,446.88
2024-10-30 04:00:00,0.0,446.88
2024-10-30 04:15:00,0.0,446.88
2024-10-30 04:30:00,0.0,446.88
2024-10-30 04:45:00,0.0,446.88
2024-10-30 05:00:00,0.0,446.88
2024-10-30 05:15:00,0.0,446.88
2024-10-30 05:30:00,0.0,446.88
2024-10-30 05:45:00,0.0,446.88
2024-10-30 06:00:00,0.0,446.88
2024-10-30 06:15:00,0.0,446.88
2024-10-30 06:30:00,0.0,446.88
2024-10-30 06:45:00,0.0,446.88
2024-10-30 07:00:00,0.1,446.88
2024-10-30 07:15:00,1.9,446.88
2024-10-30 07:30:00,3.4,446.88
2024-10-30 07:45:00,5.1,446.88
2024-10-30 08:00:00,4.9,446.88
2024-10-30 08:15:00,5.9,446.88
2024-10-30 08:30:00,10.3,446.88
2024-10-30 08:45:00,10.8,446.88
2024-10-30 09:00:00,12.3,446.88
2024-10-30 09:15:00,13.6,446.88
2024-10-30 09:30:00,18.9,446.88
2024-10-30 09:45:00,27.2,446.88
2024-10-30 10:00:00,29.4,446.88
2024-10-30 10:15:00,51.7,446.88
2024-10-30 10:30:00,50.1,446.88
2024-10-30 10:45:00,46.2,446.88
2024-10-30 11:00:00,47.6,446.88
2024-10-30 11:15:00,66.6,446.88
2024-10-30 11:30:00,77.1,446.88
2024-10-30 11:45:00,87.2,446.88
2024-10-30 12:00:00,76.4,446.88
2024-10-30 12:15:00,80.0,446.88
2024-10-30 12:30:00,78.6,446.88
2024-10-30 12:45:00,64.1,446.88
2024-10-30 13:00:00,43.6,446.88
2024-10-30 13:15:00,46.8,446.88
2024-10-30 13:30:00,60.3,446.88
2024-10-30 13:45:00,46.4,446.88
2024-10-30 14:00:00,50.0,446.88
2024-10-30 14:15:00,46.1,446.88
2024-10-30 14:30:00,42.6,446.88
2024-10-30 14:45:00,30.3,446.88
2024-10-30 15:00:00,25.2,446.88
2024-10-30 15:15:00,21.4,446.88
2024-10-30 15:30:00,19.6,446.88
2024-10-30 15:45:00,23.5,446.88
2024-10-30 16:00:00,17.5,446.88
2024-10-30 16:15:00,17.6,446.88
2024-10-30 16:30:00,14.4,446.88
2024-10-30 16:45:00,9.5,446.88
2024-10-30 17:00:00,7.2,446.88
2024-10-30 17:15:00,5.5,446.88
2024-10-30 17:30:00,2.7,446.88
2024-10-30 17:45:00,1.8,446.88
2024-10-30 18:00:00,1.1,446.88
2024-10-30 18:15:00,0.0,446.88
2024-10-30 18:30:00,0.0,446.88
2024-10-30 18:45:00,0.0,446.88
2024-10-30 19:00:00,0.0,446.88
2024-10-30 19:15:00,0.0,446.88
2024-10-30 19:30:00,0.0,446.88
2024-10-30 19:45:00,0.0,446.88
2024-10-30 20:00:00,0.0,446.88
2024-10-30 20:15:00,0.0,446.88
2024-10-30 20:30:00,0.0,446.88
2024-10-30 20:45:00,0.0,446.88
2024-10-30 21:00:00,0.0,446.88
2024-10-30 21:15:00,0.0,446.88
2024-10-30 21:30:00,0.0,446.88
2024-10-30 21:45:00,0.0,446.88
2024-10-30 22:00:00,0.0,446.88
2024-10-30 22:15:00,0.0,446.88
2024-10-30 22:30:00,0.0,446.88
2024-10-30 22:45:00,0.0,446.88
2024-10-30 23:00:00,0.0,446.88
2024-10-30 23:15:00,0.0,446.88
2024-10-30 23:30:00,0.0,446.88
2024-10-30 23:45:00,0.0,446.88
2024-10-31 00:00:00,0.0,446.88
