,시간,12-03 (화)
0,최대,205.56
1,최소,0.0
2,가중평균,124.43
3,01시 1구간,112.75
4,01시 2구간,112.75
5,01시 3구간,112.75
6,01시 4구간,112.75
7,02시 1구간,81.13
8,02시 2구간,81.13
9,02시 3구간,81.13
10,02시 4구간,81.13
11,03시 1구간,80.38
12,03시 2구간,80.38
13,03시 3구간,80.38
14,03시 4구간,80.38
15,04시 1구간,80.03
16,04시 2구간,80.03
17,04시 3구간,80.03
18,04시 4구간,80.03
19,05시 1구간,80.22
20,05시 2구간,80.22
21,05시 3구간,80.22
22,05시 4구간,80.22
23,06시 1구간,81.13
24,06시 2구간,81.13
25,06시 3구간,81.13
26,06시 4구간,81.13
27,07시 1구간,89.86
28,07시 2구간,89.86
29,07시 3구간,89.86
30,07시 4구간,89.86
31,08시 1구간,117.15
32,08시 2구간,117.15
33,08시 3구간,117.15
34,08시 4구간,117.15
35,09시 1구간,167.59
36,09시 2구간,167.59
37,09시 3구간,167.59
38,09시 4구간,167.59
39,10시 1구간,164.22
40,10시 2구간,143.03
41,10시 3구간,143.03
42,10시 4구간,160.1
43,11시 1구간,160.1
44,11시 2구간,160.1
45,11시 3구간,159.51
46,11시 4구간,159.72
47,12시 1구간,160.1
48,12시 2구간,160.1
49,12시 3구간,0.0
50,12시 4구간,160.1
51,13시 1구간,118.13
52,13시 2구간,118.13
53,13시 3구간,118.13
54,13시 4구간,118.13
55,14시 1구간,152.3
56,14시 2구간,123.75
57,14시 3구간,123.75
58,14시 4구간,123.75
59,15시 1구간,123.75
60,15시 2구간,123.75
61,15시 3구간,123.75
62,15시 4구간,123.75
63,16시 1구간,143.0
64,16시 2구간,143.0
65,16시 3구간,143.0
66,16시 4구간,143.0
67,17시 1구간,205.56
68,17시 2구간,205.56
69,17시 3구간,123.96
70,17시 4구간,123.96
71,18시 1구간,144.39
72,18시 2구간,144.39
73,18시 3구간,144.39
74,18시 4구간,139.48
75,19시 1구간,188.56
76,19시 2구간,188.56
77,19시 3구간,188.56
78,19시 4구간,188.56
79,20시 1구간,118.15
80,20시 2구간,118.15
81,20시 3구간,118.15
82,20시 4구간,118.15
83,21시 1구간,116.26
84,21시 2구간,116.26
85,21시 3구간,116.26
86,21시 4구간,116.26
87,22시 1구간,112.28
88,22시 2구간,112.28
89,22시 3구간,112.28
90,22시 4구간,112.28
91,23시 1구간,102.68
92,23시 2구간,153.85
93,23시 3구간,153.85
94,23시 4구간,153.85
95,24시 1구간,151.59
96,24시 2구간,98.77
97,24시 3구간,98.77
98,24시 4구간,98.77
