,시간,02-10 (월)
0,최대,151.57
1,최소,80.73
2,가중평균,123.65
3,01시 1구간,105.62
4,01시 2구간,105.62
5,01시 3구간,105.62
6,01시 4구간,105.62
7,02시 1구간,81.0
8,02시 2구간,81.0
9,02시 3구간,81.0
10,02시 4구간,81.0
11,03시 1구간,80.92
12,03시 2구간,80.92
13,03시 3구간,80.92
14,03시 4구간,80.92
15,04시 1구간,80.73
16,04시 2구간,80.73
17,04시 3구간,80.73
18,04시 4구간,80.73
19,05시 1구간,80.85
20,05시 2구간,80.85
21,05시 3구간,80.85
22,05시 4구간,80.85
23,06시 1구간,81.0
24,06시 2구간,81.0
25,06시 3구간,81.0
26,06시 4구간,81.0
27,07시 1구간,88.04
28,07시 2구간,88.04
29,07시 3구간,88.04
30,07시 4구간,88.04
31,08시 1구간,108.96
32,08시 2구간,108.96
33,08시 3구간,108.96
34,08시 4구간,108.96
35,09시 1구간,151.57
36,09시 2구간,151.57
37,09시 3구간,151.57
38,09시 4구간,151.57
39,10시 1구간,150.62
40,10시 2구간,148.45
41,10시 3구간,151.16
42,10시 4구간,150.18
43,11시 1구간,148.49
44,11시 2구간,145.6
45,11시 3구간,144.0
46,11시 4구간,148.01
47,12시 1구간,150.65
48,12시 2구간,148.99
49,12시 3구간,148.32
50,12시 4구간,148.32
51,13시 1구간,130.3
52,13시 2구간,130.3
53,13시 3구간,130.3
54,13시 4구간,130.3
55,14시 1구간,132.55
56,14시 2구간,132.55
57,14시 3구간,132.55
58,14시 4구간,132.55
59,15시 1구간,130.3
60,15시 2구간,130.3
61,15시 3구간,130.3
62,15시 4구간,130.3
63,16시 1구간,130.3
64,16시 2구간,130.3
65,16시 3구간,130.3
66,16시 4구간,130.3
67,17시 1구간,141.24
68,17시 2구간,141.24
69,17시 3구간,148.99
70,17시 4구간,148.99
71,18시 1구간,132.79
72,18시 2구간,147.73
73,18시 3구간,147.73
74,18시 4구간,147.73
75,19시 1구간,146.1
76,19시 2구간,146.91
77,19시 3구간,146.91
78,19시 4구간,146.91
79,20시 1구간,146.91
80,20시 2구간,146.91
81,20시 3구간,146.91
82,20시 4구간,146.91
83,21시 1구간,148.86
84,21시 2구간,148.86
85,21시 3구간,148.86
86,21시 4구간,148.86
87,22시 1구간,113.9
88,22시 2구간,113.9
89,22시 3구간,113.9
90,22시 4구간,113.9
91,23시 1구간,148.86
92,23시 2구간,148.86
93,23시 3구간,148.86
94,23시 4구간,148.86
95,24시 1구간,113.9
96,24시 2구간,113.9
97,24시 3구간,113.9
98,24시 4구간,113.9
