,시간,01-03 (금)
0,최대,166.56
1,최소,115.29
2,가중평균,143.48
3,01시 1구간,148.5
4,01시 2구간,148.5
5,01시 3구간,148.5
6,01시 4구간,148.5
7,02시 1구간,148.5
8,02시 2구간,148.5
9,02시 3구간,148.5
10,02시 4구간,148.5
11,03시 1구간,148.5
12,03시 2구간,148.5
13,03시 3구간,148.5
14,03시 4구간,148.5
15,04시 1구간,148.5
16,04시 2구간,148.5
17,04시 3구간,148.5
18,04시 4구간,148.5
19,05시 1구간,148.5
20,05시 2구간,148.5
21,05시 3구간,148.5
22,05시 4구간,148.5
23,06시 1구간,148.5
24,06시 2구간,148.5
25,06시 3구간,148.5
26,06시 4구간,148.5
27,07시 1구간,148.5
28,07시 2구간,148.5
29,07시 3구간,148.5
30,07시 4구간,148.5
31,08시 1구간,115.29
32,08시 2구간,115.29
33,08시 3구간,115.29
34,08시 4구간,115.29
35,09시 1구간,138.49
36,09시 2구간,138.49
37,09시 3구간,138.49
38,09시 4구간,138.49
39,10시 1구간,166.56
40,10시 2구간,163.77
41,10시 3구간,148.5
42,10시 4구간,166.56
43,11시 1구간,155.47
44,11시 2구간,155.47
45,11시 3구간,155.47
46,11시 4구간,155.47
47,12시 1구간,146.0
48,12시 2구간,146.0
49,12시 3구간,146.0
50,12시 4구간,146.0
51,13시 1구간,134.16
52,13시 2구간,134.16
53,13시 3구간,134.16
54,13시 4구간,134.16
55,14시 1구간,134.04
56,14시 2구간,134.04
57,14시 3구간,134.04
58,14시 4구간,134.04
59,15시 1구간,133.95
60,15시 2구간,133.95
61,15시 3구간,133.95
62,15시 4구간,133.95
63,16시 1구간,133.95
64,16시 2구간,133.95
65,16시 3구간,133.95
66,16시 4구간,133.95
67,17시 1구간,132.19
68,17시 2구간,132.19
69,17시 3구간,132.19
70,17시 4구간,132.19
71,18시 1구간,128.32
72,18시 2구간,128.32
73,18시 3구간,128.32
74,18시 4구간,128.32
75,19시 1구간,148.5
76,19시 2구간,148.5
77,19시 3구간,148.5
78,19시 4구간,148.5
79,20시 1구간,148.5
80,20시 2구간,148.5
81,20시 3구간,148.5
82,20시 4구간,148.5
83,21시 1구간,148.5
84,21시 2구간,148.5
85,21시 3구간,148.5
86,21시 4구간,148.5
87,22시 1구간,148.5
88,22시 2구간,148.5
89,22시 3구간,148.5
90,22시 4구간,148.5
91,23시 1구간,148.5
92,23시 2구간,148.5
93,23시 3구간,148.5
94,23시 4구간,148.5
95,24시 1구간,148.5
96,24시 2구간,148.5
97,24시 3구간,148.5
98,24시 4구간,148.5
